sequence,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,timestamp
26,189.34,151.85,157.72,25.25,0,0,0, 01:45:02.800,1.55E+12
27,-84.29,-49.67,-75.56,-109.28,0,0,0, 01:45:02.816,1.55E+12
28,-201.61,-167.69,-187.36,-183.6,0,0,0, 01:45:02.816,1.55E+12
29,132.35,87.24,125.28,-6.16,0,0,0, 01:45:02.817,1.55E+12
30,50.36,57.64,44.55,-51.16,0,0,0, 01:45:02.817,1.55E+12
31,-258.22,-198.77,-235.65,-224.26,0,0,0, 01:45:02.830,1.55E+12
32,47.23,21.73,34.57,-63.39,0,0,0, 01:45:02.830,1.55E+12
33,151.52,118.95,128.6,6.47,0,0,0, 01:45:02.846,1.55E+12
34,-190.99,-146.68,-165.39,-172.31,0,0,0, 01:45:02.846,1.55E+12
35,-91.06,-99.04,-79.81,-134.1,0,0,0, 01:45:02.847,1.55E+12
36,195.7,152.97,171.51,41,0,0,0, 01:45:02.847,1.55E+12
37,-86.39,-48.52,-66.27,-103.55,0,0,0, 01:45:02.860,1.55E+12
38,-196.89,-167,-166.19,-182.62,0,0,0, 01:45:02.860,1.55E+12
39,141.16,107.69,124.19,8.03,0,0,0, 01:45:02.876,1.55E+12
40,54.14,53.29,58.51,-27.4,0,0,0, 01:45:02.876,1.55E+12
41,-246.55,-199.49,-205.1,-205.98,0,0,0, 01:45:02.877,1.55E+12
42,38.32,16.41,37.9,-55.17,0,0,0, 01:45:02.877,1.55E+12
43,146.15,120.87,131.22,10.53,0,0,0, 01:45:02.890,1.55E+12
44,-184.83,-137.16,-153.96,-156.09,0,0,0, 01:45:02.890,1.55E+12
45,-82.4,-76.78,-84.34,-105.94,0,0,0, 01:45:02.906,1.55E+12
46,195.94,150.3,159.13,31.6,0,0,0, 01:45:02.906,1.55E+12
47,-85.49,-64.22,-72.89,-114.26,0,0,0, 01:45:02.907,1.55E+12
48,-191.11,-163.42,-172.85,-172.57,0,0,0, 01:45:02.907,1.55E+12
49,138.51,94.56,113.3,1.68,0,0,0, 01:45:02.921,1.55E+12
50,58.6,61.58,55.2,-28.18,0,0,0, 01:45:02.921,1.55E+12
51,-246.21,-192.09,-214.31,-197.41,0,0,0, 01:45:02.936,1.55E+12
52,51.72,14.33,48.45,-50.4,0,0,0, 01:45:02.936,1.55E+12
53,150.1,126.89,137.93,19.82,0,0,0, 01:45:02.938,1.55E+12
54,-183.91,-140.59,-156.99,-156.21,0,0,0, 01:45:02.938,1.55E+12
55,-90.26,-88.39,-76.5,-113.38,0,0,0, 01:45:02.951,1.55E+12
56,200,152.5,167.25,48.15,0,0,0, 01:45:02.951,1.55E+12
57,-81.27,-59.1,-78.71,-96.19,0,0,0, 01:45:02.985,1.55E+12
58,-181.23,-146.96,-160.03,-153.8,0,0,0, 01:45:02.985,1.55E+12
59,151.75,113.33,136.61,22.88,0,0,0, 01:45:02.989,1.55E+12
60,51.92,62.62,54.22,-24.92,0,0,0, 01:45:02.989,1.55E+12
61,-230.76,-183.27,-195.15,-184.25,0,0,0, 01:45:02.990,1.55E+12
62,57.79,21.55,45.76,-36.49,0,0,0, 01:45:02.990,1.55E+12
63,156.81,132.74,135.17,35.14,0,0,0, 01:45:02.993,1.55E+12
64,-190.27,-130.34,-151.39,-144.07,0,0,0, 01:45:02.993,1.55E+12
65,-86.76,-88.05,-87.85,-115.08,0,0,0, 01:45:02.996,1.55E+12
66,200.08,156.02,178.84,50.11,0,0,0, 01:45:02.996,1.55E+12
67,-85.79,-60.72,-68.42,-96.52,0,0,0, 01:45:03.012,1.55E+12
68,-179.26,-152.87,-156.1,-152.54,0,0,0, 01:45:03.012,1.55E+12
69,144.35,105.62,123.44,20.67,0,0,0, 01:45:03.026,1.55E+12
70,52.31,50.61,49.48,-18.86,0,0,0, 01:45:03.026,1.55E+12
71,-225.94,-181.68,-188.63,-161.27,0,0,0, 01:45:03.028,1.55E+12
72,57.58,32.3,49.71,-25.6,0,0,0, 01:45:03.028,1.55E+12
73,155.81,125.4,134.69,34.12,0,0,0, 01:45:03.040,1.55E+12
74,-182.61,-136.3,-157.23,-145.84,0,0,0, 01:45:03.040,1.55E+12
75,-87.17,-87,-87.09,-109.24,0,0,0, 01:45:03.056,1.55E+12
76,204.38,155.75,166.84,43.63,0,0,0, 01:45:03.056,1.55E+12
77,-85.62,-57.47,-63.14,-90.42,0,0,0, 01:45:03.058,1.55E+12
78,-183.35,-152.51,-156.73,-144.87,0,0,0, 01:45:03.058,1.55E+12
79,157.5,114.81,144.6,36.29,0,0,0, 01:45:03.071,1.55E+12
80,49.07,55.75,62.73,-14.98,0,0,0, 01:45:03.071,1.55E+12
81,-231.54,-185.54,-201.81,-170.1,0,0,0, 01:45:03.086,1.55E+12
82,62.95,38.92,54.19,-17.99,0,0,0, 01:45:03.086,1.55E+12
83,159,135.72,151.08,49.37,0,0,0, 01:45:03.087,1.55E+12
84,-178.56,-126.11,-136.49,-126.8,0,0,0, 01:45:03.087,1.55E+12
85,-92.01,-82.81,-74.96,-103.86,0,0,0, 01:45:03.100,1.55E+12
86,203.74,154.43,188.16,62.34,0,0,0, 01:45:03.100,1.55E+12
87,-81.48,-47.2,-59.1,-75.11,0,0,0, 01:45:03.116,1.55E+12
88,-178.42,-141.42,-150.47,-129.39,0,0,0, 01:45:03.116,1.55E+12
89,153.35,106.45,139.37,41.84,0,0,0, 01:45:03.117,1.55E+12
90,69.94,64.07,66.64,12.52,0,0,0, 01:45:03.117,1.55E+12
91,-219.53,-159.74,-194.81,-142.88,0,0,0, 01:45:03.131,1.55E+12
92,70.13,38.34,61.44,-2.65,0,0,0, 01:45:03.131,1.55E+12
93,163.83,132.91,159.32,50.95,0,0,0, 01:45:03.145,1.55E+12
94,-175.93,-128.78,-141.91,-130.92,0,0,0, 01:45:03.145,1.55E+12
95,-79.61,-84.78,-69.92,-99.61,0,0,0, 01:45:03.147,1.55E+12
96,213.38,158.66,187.74,72.22,0,0,0, 01:45:03.147,1.55E+12
97,-85.34,-44.35,-59.04,-69.16,0,0,0, 01:45:03.161,1.55E+12
98,-172.3,-142.36,-139.25,-136.99,0,0,0, 01:45:03.161,1.55E+12
99,155,113.08,139.95,37.82,0,0,0, 01:45:03.176,1.55E+12
100,53.24,59.54,61.47,-2.55,0,0,0, 01:45:03.176,1.55E+12
101,-237.58,-179.23,-187.72,-163.53,0,0,0, 01:45:03.178,1.55E+12
102,70.84,40.94,66.91,-0.8,0,0,0, 01:45:03.178,1.55E+12
103,162.61,136.09,153,57.9,0,0,0, 01:45:03.190,1.55E+12
104,-180.57,-129.76,-156.3,-126.52,0,0,0, 01:45:03.190,1.55E+12
105,-73.3,-74.32,-60.26,-84.13,0,0,0, 01:45:03.207,1.55E+12
106,208.23,159.68,177.77,73.19,0,0,0, 01:45:03.207,1.55E+12
107,-83.41,-52.12,-68.86,-67.84,0,0,0, 01:45:03.209,1.55E+12
108,-175.67,-138.81,-150.73,-123.34,0,0,0, 01:45:03.209,1.55E+12
109,157.29,111.22,137.06,56.76,0,0,0, 01:45:03.220,1.55E+12
110,65.8,58.61,65.48,17.04,0,0,0, 01:45:03.220,1.55E+12
111,-198.96,-157.07,-172.73,-124.59,0,0,0, 01:45:03.236,1.55E+12
112,101.7,63.37,93.27,35.36,0,0,0, 01:45:03.236,1.55E+12
113,173.83,150.07,166.9,87.51,0,0,0, 01:45:03.238,1.55E+12
114,-158.4,-110.92,-139.23,-97.14,0,0,0, 01:45:03.238,1.55E+12
115,-52.41,-61.11,-54.01,-49.44,0,0,0, 01:45:03.250,1.55E+12
116,218.86,162.9,199.89,100.32,0,0,0, 01:45:03.250,1.55E+12
117,-56.33,-29.84,-45.97,-35.14,0,0,0, 01:45:03.267,1.55E+12
118,-153.99,-123.4,-130.14,-94.73,0,0,0, 01:45:03.267,1.55E+12
119,176.74,134.93,175.09,82.59,0,0,0, 01:45:03.271,1.55E+12
120,70.16,70.99,62.44,33.92,0,0,0, 01:45:03.271,1.55E+12
121,-210.04,-160.7,-171.75,-109.36,0,0,0, 01:45:03.299,1.55E+12
122,93.85,55.24,96.83,47.58,0,0,0, 01:45:03.299,1.55E+12
123,175.32,153.52,169.05,89.07,0,0,0, 01:45:03.303,1.55E+12
